OBJECTID,stormid,month,year,AcresOnLand,Shape__Area,Shape__Length,Total_Store_Count,HD_Store_Count,LOW_Store_Count
127,AL132019,10,2019,44457469.9907027,568.407070891562,125.821317589271,0,0,0
128,AL132020,08,2020,89996844.5028432,174.217102015885,128.19779889958,55,31,24
129,AL132021,09,2021,972811.326922219,1.01091144313568,6.98617496603274,0,0,0
130,AL132022,10,2022,20065006.0004873,28.9736592683333,50.8799256423182,0,0,0
131,AL132023,09,2023,44213246.1008967,356.442455217429,141.949109766911,87,54,33
132,al142016,09,2016,1341047.06096593,66.5805802898398,49.686060083656,0,0,0
133,al142016,10,2016,84268832.8956216,155.224171501536,82.9878230336176,329,155,174
134,al142017,09,2017,0,94.981170630783,115.350213318626,0,0,0
135,AL142018,10,2018,103136092.907838,646.188562270414,250.906667122018,154,64,90
136,AL142019,10,2019,5487929.48901582,87.7143969891592,67.9467957988015,130,91,39
137,AL142020,08,2020,125267.409590339,19.1987182520154,37.1980642431413,0,0,0
138,AL142021,09,2021,15928393.0261977,26.8781922116708,34.5552861447896,75,46,29
139,AL142022,10,2022,1087423.56317803,13.2934785049315,19.4405007594944,0,0,0
140,AL142023,09,2023,0,132.161613882947,86.2879392989596,0,0,0
141,al152016,10,2016,15746.1824639535,389.136949374495,124.50499570913,0,0,0
142,al152017,09,2017,10457420.7045304,321.274042886313,153.358375068618,11,10,1
143,AL152018,10,2018,0,13.1928186827541,25.3241841594815,0,0,0
144,AL152020,09,2020,0,7.67482752495562,26.1069878236322,0,0,0
145,AL152021,09,2021,2137841.41898831,247.017330427876,107.241520927932,0,0,0
146,AL152022,10,2022,0,11.8230102889079,21.8221527540216,0,0,0
147,AL152022,11,2022,5344336.02489702,18.5552879899,42.4313237063061,0,0,0
148,AL152023,09,2023,68822409.5623272,862.031055839117,216.05285988557,0,0,0
149,al162017,10,2017,15011416.161315,40.6822589120414,62.8328013965295,35,18,17
150,AL162018,10,2018,0,150.31518714285,94.0386161232761,0,0,0
151,AL162018,11,2018,79796757.1056287,1138.65191130025,160.077735853821,0,0,0
152,AL162019,10,2019,115380154.537652,120.293379162026,73.6543552454837,491,235,256
153,AL162020,09,2020,6087248.83140854,16.1447315755895,43.1775917107696,0,0,0
